'an'bao'mi'zhuan'li'shen'qing'chu'li 按保密专利申请处理
'wei'yu'fou'ren 未予否认
'wei'yue'xing'wei 违约行为
'wei'zao'hen'ji 伪造痕迹
'wei'zhi'guan'xi 位置关系
'wei'zhi'ming 未指明
'wei'zu'e'jiao'na 未足额缴纳
'wen'ben'ren'ding 文本认定
'wen'ben'ren'ding'cuo'wu 文本认定错误
'wen'jian'dai 文件袋
'wen'jian'fen'shu 文件份数
'wen'jian'fu'ben 文件副本
'wen'jian'ge'shi 文件格式
'wen'jian'qing'dan 文件清单
'wen'jian'zhuang'ding'tiao 文件装订条
'wen'ti'jie'jue'fa 问题解决法
'wen'xian'biao'shi'shu'ju 文献标识数据
'wen'xian'bu 文献部
'wen'xian'hao 文献号
'wen'xian'jian'suo 文献检索
'wen'xian'ku 文献库
'wen'xian'lei'xing 文献类型
'wen'xian'liu'shui'hao 文献流水号
'wen'xian'shu'ju'ku 文献数据库
'wen'xian'zhong'lei 文献种类
'wen'zi'bian'huan 文字变换
'wen'zi'biao'shu 文字表述
'wen'zi'ji'zai 文字记载
'wen'zi'ji'zai'de'nei'rong 文字记载的内容
'wen'zi'nei'rong 文字内容
'wu'gu'ding'xing'zhuang 无固定形状
'wu'ji'ji'xiao'guo 无积极效果
'wu'qi'ta'ke'shi'yong'biao'ge'de'tong'zhi'shu 无其他可适用表格的通知书
'wu'que'ding'xing'zhuang 无确定形状
'wu'que'ding'xing'zhuang'de'chan'pin 无确定形状的产品
'wu'xiao 无效
'wu'xiao'an 无效案
'wu'xiao'an'jian 无效案件
'wu'xiao'an'jian'shen'cha'zhuang'tai'tong'zhi'shu 无效案件审查状态通知书
'wu'xiao'cheng'xu 无效程序
'wu'xiao'li'you 无效理由
'wu'xiao'qing'qiu 无效请求
'wu'xiao'qing'qiu'ren 无效请求人
'wu'xiao'shen'cha 无效审查
'wu'xiao'shen'cha'guo'cheng 无效审查过程
'wu'xiao'shen'cha'jue'ding 无效审查决定
'wu'xiao'su'song 无效诉讼
'wu'xiao'xuan'gao 无效宣告
'wu'xiao'xuan'gao'an 无效宣告案
'wu'xiao'xuan'gao'an'jian 无效宣告案件
'wu'xiao'xuan'gao'an'jian'jie'an'tong'zhi'shu 无效宣告案件结案通知书
'wu'xiao'xuan'gao'an'jian'shen'cha'zhuang'tai'tong'zhi'shu 无效宣告案件审查状态通知书
'wu'xiao'xuan'gao'bei'qing'qiu'ren 无效宣告被请求人
'wu'xiao'xuan'gao'cheng'xu 无效宣告程序
'wu'xiao'xuan'gao'cheng'xu'zhong'zhi'zhuang'tai'tong'zhi'shu 无效宣告程序中止状态通知书
'wu'xiao'xuan'gao'li'you 无效宣告理由
'wu'xiao'xuan'gao'qing'qiu 无效宣告请求
'wu'xiao'xuan'gao'qing'qiu'an 无效宣告请求案
'wu'xiao'xuan'gao'qing'qiu'an'jian 无效宣告请求案件
'wu'xiao'xuan'gao'qing'qiu'an'jian'shen'cha'zhuang'tai'tong'zhi'shu 无效宣告请求案件审查状态通知书
'wu'xiao'xuan'gao'qing'qiu'bu'yu'shou'li'tong'zhi'shu 无效宣告请求不予受理通知书
'wu'xiao'xuan'gao'qing'qiu'bu'zheng'tong'zhi'shu 无效宣告请求补正通知书
'wu'xiao'xuan'gao'qing'qiu'fei 无效宣告请求费
'wu'xiao'xuan'gao'qing'qiu'ke'ti 无效宣告请求客体
'wu'xiao'xuan'gao'qing'qiu'kou'tou'shen'li'tong'zhi'shu 无效宣告请求口头审理通知书
'wu'xiao'xuan'gao'qing'qiu'ren 无效宣告请求人
'wu'xiao'xuan'gao'qing'qiu'shen'cha'jie'an'tong'zhi'shu 无效宣告请求审查结案通知书
'wu'xiao'xuan'gao'qing'qiu'shen'cha'jue'ding 无效宣告请求审查决定
'wu'xiao'xuan'gao'qing'qiu'shen'cha'jue'ding'shu 无效宣告请求审查决定书
'wu'xiao'xuan'gao'qing'qiu'shen'cha'tong'zhi'shu 无效宣告请求审查通知书
'wu'xiao'xuan'gao'qing'qiu'shi'wei'wei'ti'chu'tong'zhi'shu 无效宣告请求视为未提出通知书
'wu'xiao'xuan'gao'qing'qiu'shou'li'tong'zhi'shu 无效宣告请求受理通知书
'wu'xiao'xuan'gao'qing'qiu'shu 无效宣告请求书
'wu'xiao'xuan'gao'qing'qiu'zhong'zhi'shen'pi'tong'zhi'shu 无效宣告请求中止审批通知书
'wu'xiao'xuan'gao'shen'cha'jue'ding 无效宣告审查决定
'wu'xiao'xuan'gao'shen'cha'wen'jian'shou'fa'wen'mu'lu 无效宣告审查文件收发文目录
'wu'xu'deng'dai'da'fu 无需等待答复
'wu'xu'jing'guo'chuang'zao'xing'lao'dong 无需经过创造性劳动
'wu'xu'jing'guo'chuang'zao'xing'lao'dong'jiu'neng'gou'lian'xiang'dao'de'te'zheng 无需经过创造性劳动就能够联想到的特征
'wu'yue'shu'li 无约束力
'wu'zai'xian'xing 无再现性
'wu'zheng 物证
'wu'zheng'dang'li'you 无正当理由
'wu'zheng'yuan'jian 物证原件
'wu'zhi'ji'shu'tiao'jian 物质技术条件
'xi'ze 细则
'xia'ci'zheng'ju 瑕疵证据
'xia'wei 下位
'xia'wei'gai'nian 下位概念
'xian'chang'bi'lu 现场笔录
'xian'chang'diao'cha 现场调查
'xian'chang'kan'yan 现场勘验
'xian'dao'qi'zhe 先到期者
'xian'ding'bu'fen 限定部分
'xian'ding'chu'bu'tong'de'bao'hu'fan'wei 限定出不同的保护范围
'xian'ding'fang'shi 限定方式
'xian'ding'xing'quan'li'yao'qiu 限定型权利要求
'xian'ding'zuo'yong 限定作用
'xian'fa'ming'yuan'ze 先发明原则
'xian'fa'ming'zhi 先发明制
'xian'lu'gou'zao 线路构造
'xian'shen'qing'yuan'ze 先申请原则
'xian'shen'qing'zhi 先申请制
'xian'shi'gong'ping 显示公平
'xian'shi'gong'ping'ying'yu'pei'chang'yuan'ze 显示公平应予赔偿原则
'xian'yong'quan 先用权
'xian'yong'quan'ren 先用权人
'xian'yong'quan'yuan'ze 先用权原则
'xian'you'ji'shu 现有技术
'xian'you'ji'shu'zhuang'kuang 现有技术状况
'xian'yu'zhi'xing 先予执行
'xian'zhi'quan'li'yao'qiu'huo'zhe'jiao'na'fu'jia'fei'he'shi'yong'shi'yi'yi'fei'tong'zhi'shu 限制权利要求或者缴纳附加费和适用时异议费通知书
'xian'zhu'biao'zhi 显著标志
'xian'zhu'de'jin'bu 显著的进步
'xian'zhu'jing'ji'yi'yi 显著经济意义
'xiang'deng'tong 相等同
'xiang'deng'tong'de'te'zheng 相等同的特征
'xiang'dui'ren 相对人
'xiang'dui'wei'zhi'guan'xi 相对位置关系
'xiang'dui'xin'ying'xing 相对新颖性
'xiang'dui'xin'ying'xing'biao'zhun 相对新颖性标准
'xiang'fan'de'zheng'ju 相反的证据
'xiang'fan'zheng'ju 相反证据
'xiang'gang'ao'men'ju'min'can'jia'quan'guo'zhuan'li'dai'li'ren'zi'ge'kao'shi'de'an'pai 香港澳门居民参加全国专利代理人资格考试的安排
'xiang'guan'cheng'du 相关程度
'xiang'guan'ji'shu'ling'yu 相关技术领域
'xiang'guan'ling'yu 相关领域
'xiang'guan'ri 相关日
'xiang'guan'wen'jian 相关文件
'xiang'guan'xing 相关性
'xiang'guan'zhuan'li'wen'xian 相关专利文献
'xiang'hu'cheng'ren'you'xian'quan 相互承认优先权
'xiang'hu'guan'lian 相互关联
'xiang'hu'guan'xi 相互关系
'xiang'hu'yin'zheng 相互印证
'xiang'jin'lei'bie'de'chan'pin 相近类别的产品
'xiang'jin'si 相近似
'xiang'tong'de'ji'shu'ling'yu 相同的技术领域
'xiang'tong'de'ji'shu'wen'ti 相同的技术问题
'xiang'tong'de'ji'shu'xiao'guo 相同的技术效果
'xiang'tong'de'te'ding'ji'shu'te'zheng 相同的特定技术特征
'xiang'tong'de'yu'qi'xiao'guo 相同的预期效果
'xiang'tong'huo'zhe'xiang'ying 相同或者相应
'xiang'tong'huo'zhe'xiang'ying'de'te'ding'ji'shu'te'zheng 相同或者相应的特定技术特征
'xiang'tong'nei'rong'de'fa'ming 相同内容的发明
'xiang'tong'nei'rong'de'fa'ming'huo'zhe'shi'yong'xin'xing 相同内容的发明或者实用新型
'xiang'tong'nei'rong'de'shi'yong'xin'xing 相同内容的实用新型
'xiang'tong'zhu'ti 相同主题
'xiang'tong'zhu'ti'de'fa'ming 相同主题的发明
'xiang'tong'zhu'ti'de'fa'ming'chuang'zao 相同主题的发明创造
'xiang'tong'zhu'ti'de'fa'ming'huo'zhe'shi'yong'xin'xing 相同主题的发明或者实用新型
'xiang'tong'zhu'ti'de'shi'yong'xin'xing 相同主题的实用新型
'xiang'tong'zhu'ti'de'wai'guan'she'ji 相同主题的外观设计
'xiang'tong'zhuan'li'qin'quan 相同专利侵权
'xiang'tu 相图
'xiang'ying'de'te'ding'ji'shu'te'zheng 相应的特定技术特征
'xiang'ying'ri 相应日
'xiang'you'you'xian'quan 享有优先权
'xiao'chu'ying'xiang 消除影响
'xiao'fa'ming 小发明
'xiao'guo'te'zheng 效果特征
'xiao'guo'xian'ding 效果限定
'xiao'lei 小类
'xiao'li 效力
'xiao'li'fan'wei 效力范围
'xiao'li'sang'shi 效力丧失
'xiao'li'zhong'zhi 效力终止
'xiao'shou'di 销售地
'xiao'shou'ri'qi 销售日期
'xiao'shou'xing'wei 销售行为
'xiao'shou'zhe 销售者
'xiao'zhuan'li 小专利
'xiao'zu 小组
'xin'ban'shen'cha'zhi'nan 新版审查指南
'xin'ban'zhi'nan 新版指南
'xin'de'ji'shu'fang'an 新的技术方案
'xin'fen'dai'shen 新分待审
'xin'she'ji 新设计
'xin'xi'biao'da 信息表达
'xin'xi'xing'can'jian 信息性参见
'xin'xi'zhong'xin 信息中心
'xin'ying'xing 新颖性
'xin'ying'xing'pan'duan 新颖性判断
'xin'ying'xing'yao'qiu 新颖性要求
'xin'zheng'ju 新证据
'xing'neng'te'zheng 性能特征
'xing'neng'xian'ding 性能限定
'xing'neng'xian'ding'xing 性能限定型
'xing'neng'xian'ding'xing'quan'li'yao'qiu 性能限定型权利要求
'xing'shen 形审
'xing'sheng'cai 邢胜才
'xing'shi'que'xian 形式缺陷
'xing'shi'shen'cha 形式审查
'xing'shi'tiao'jian 形式条件
'xing'shi'yao'jian 形式要件
'xing'wei'fa'sheng'di 行为发生地
'xing'wei'fa'sheng'zhi'ri 行为发生之日
'xing'wei'ren 行为人
'xing'wei'shi'shi'di 行为实施地
'xing'wei'ze'ren 行为责任
'xing'wei'zhu'ti 行为主体
'xing'zheng'an'jian 行政案件
'xing'zheng'cheng'xu 行政程序
'xing'zheng'chu'fa 行政处罚
'xing'zheng'chu'fa'jue'ding 行政处罚决定
'xing'zheng'chu'fen 行政处分
'xing'zheng'fa'gui 行政法规
'xing'zheng'fu'yi 行政复议
'xing'zheng'fu'yi'an'jian'shen'pi'biao 行政复议案件审批表
'xing'zheng'fu'yi'cheng'xu 行政复议程序
'xing'zheng'fu'yi'cheng'xu'zhong'zhi 行政复议程序终止
'xing'zheng'fu'yi'chu 行政复议处
'xing'zheng'fu'yi'diao'juan'han 行政复议调卷函
'xing'zheng'fu'yi'fa 行政复议法
'xing'zheng'fu'yi'gui'cheng 行政复议规程
'xing'zheng'fu'yi'jue'ding 行政复议决定
'xing'zheng'fu'yi'jue'ding'shu 行政复议决定书
'xing'zheng'fu'yi'qing'qiu 行政复议请求
'xing'zheng'fu'yi'qing'qiu'shu 行政复议请求书
'xing'zheng'fu'yi'shen'qing 行政复议申请
'xing'zheng'fu'yi'shen'qing'ren 行政复议申请人
'xing'zheng'fu'yi'shen'qing'shu 行政复议申请书
'xing'zheng'fu'yi'tui'juan'han 行政复议退卷函
'xing'zheng'fu'yi'zhuan'yong'zhang 行政复议专用章
'xing'zheng'gui'cheng 行政规程
'xing'zheng'gui'ding 行政规定
'xing'zheng'gui'zhang 行政规章
'xing'zheng'jian'du 行政监督
'xing'zheng'jian'du'cheng'xu 行政监督程序
'xing'zheng'jiu'ji 行政救济
'xing'zheng'si'fa 行政司法
'xing'zheng'su'song 行政诉讼
'xing'zheng'su'song'cheng'xu 行政诉讼程序
'xing'zheng'su'song'fa 行政诉讼法
'xing'zheng'xing'wei 行政行为
'xing'zheng'zhi'fa 行政执法
'xing'zheng'zhi'fa'wei'yuan'hui 行政执法委员会
'xing'zheng'zhi'wu 行政职务
'xing'zhuang'te'zheng 形状特征
'xing'zhuang'xiang'jin'si 形状相近似
'xiu'gai'bu'fen 修改部分
'xiu'gai'bu'yu'kao'lv'tong'zhi'shu 修改不予考虑通知书
'xiu'gai'chao'fan'wei 修改超范围
'xiu'gai'fang'shi 修改方式
'xiu'gai'geng'zheng 修改更正
'xiu'gai'geng'zheng'tong'zhi'shu 修改更正通知书
'xiu'gai'wen'ben 修改文本
'xiu'gai'wen'ben'bu'yu'jie'shou 修改文本不予接受
'xiu'gai'wen'ben'bu'yu'jie'shou'tong'zhi'shu 修改文本不予接受通知书
'xiu'gai'wen'jian 修改文件
'xu'ke 许可
'xu'ke'fei 许可费
'xu'ke'qing'qiu'fei 许可请求费
'xu'lie'biao 序列表
'xu'lie'biao'dian'zi'wen'jian 序列表电子文件
'xu'lie'biao'zhi'fu 序列标识符
'xu'lie'biao'zi'you'nei'rong 序列表自由内容
'xu'nuo'xiao'shou 许诺销售
'xu'nuo'xiao'shou'quan 许诺销售权
'xu'shu'fang'shi 叙述方式
'xu'yao'bu'qiang'de'zheng'ju 需要补强的证据
'xuan'bu'bu'zhi'ding'guo'ji'jian'suo'bao'gao 宣布不制定国际检索报告
'xuan'ding'guo 选定国
'xuan'ding'ju 选定局
'xuan'ding'zhong'guo 选定中国
'xuan'gao'guo'fang'zhuan'li'quan'wu'xiao 宣告国防专利权无效
'xuan'gao'guo'fang'zhuan'li'quan'wu'xiao'qing'qiu 宣告国防专利权无效请求
'xuan'gao'zhuan'li'quan'bu'fen'wu'xiao 宣告专利权部分无效
'xuan'gao'zhuan'li'quan'quan'bu'wu'xiao 宣告专利权全部无效
'xuan'gao'zhuan'li'quan'wu'xiao 宣告专利权无效
'xuan'gao'zhuan'li'quan'wu'xiao'qing'qiu 宣告专利权无效请求
'xuan'gao'zhuan'li'quan'wu'xiao'qing'qiu'shu 宣告专利权无效请求书
'xuan'shi'shu 宣誓书
'xuan'ze'fa'ming 选择发明
'xuan'ze'fang'shi 选择方式
'xuan'ze'yao'su 选择要素
'xue'shu'hui'yi 学术会议
'xue'shu'lun'wen 学术论文
'xue'shu'wei'yuan'hui 学术委员会
'xue'yuan'guo'ji 学院国际
'xue'yuan'guo'ji'da'sha 学院国际大厦
'yan'chang'bao'mi'qi'xian 延长保密期限
'yan'chang'qi'xian 延长期限
'yan'chang'qi'xian'qing'qiu 延长期限请求
'yan'chang'qi'xian'qing'qiu'fei 延长期限请求费
'yan'chang'qi'xian'qing'qiu'shu 延长期限请求书
'yan'chang'qi'xian'shen'pi'tong'zhi'shu 延长期限审批通知书
'yan'chang'zhong'zhi'qi'xian 延长中止期限
'yan'chang'zhong'zhi'qi'xian'qing'qiu'shu 延长中止期限请求书
'yan'chang'zhong'zhi'qi'xian'shen'pi'tong'zhi'shu 延长中止期限审批通知书
'yan'ji 延及
'yan'qi 延期
'yan'qi'qing'qiu 延期请求
'yang'ji'jian'ding 样机鉴定
'yang'pin'jian'ding 样品鉴定
'yang'shi'tu 仰视图
'yang'tie'jun 杨铁军
'yao'jian 要件
'yao'jie'jue'de'ji'shu'wen'ti 要解决的技术问题
'yao'qiu'bao'hu 要求保护
'yao'qiu'bao'hu'de'chan'pin 要求保护的产品
'yao'qiu'bao'hu'de'fang'fa 要求保护的方法
'yao'qiu'bao'hu'de'ji'shu'fang'an 要求保护的技术方案
'yao'qiu'ben'guo'you'xian'quan'de'ji'chu 要求本国优先权的基础
'yao'qiu'guo'ji'jian'suo'dan'wei'jian'suo'de'zhu'ti 要求国际检索单位检索的主题
'yao'qiu'qi'hui'bi 要求其回避
'yao'qiu'shu 要求书
'yao'qiu'ti'qian'gong'bu'sheng'ming 要求提前公布声明
'yao'qiu'ti'qian'gong'kai'sheng'ming 要求提前公开声明
'yao'qiu'wai'guo'you'xian'quan'de'ji'chu 要求外国优先权的基础
'yao'qiu'you'xian'quan 要求优先权
'yao'qiu'you'xian'quan'de'ji'chu 要求优先权的基础
'yao'qiu'you'xian'quan'sheng'ming 要求优先权声明
'yao'su'bian'geng 要素变更
'yao'su'bian'geng'de'fa'ming 要素变更的发明
'yao'su'guan'xi 要素关系
'yao'su'guan'xi'gai'bian 要素关系改变
'yao'su'guan'xi'gai'bian'de'fa'ming 要素关系改变的发明
'yao'su'sheng'lue 要素省略
'yao'su'sheng'lue'de'fa'ming 要素省略的发明
'yao'su'ti'dai 要素替代
'yao'su'ti'dai'de'fa'ming 要素替代的发明
'yao'su'zu'he 要素组合
'ye'shu 页数
'ye'wu'zhi'dao 业务指导
'yi'ban'gai'nian 一般概念
'yi'ban'xiao'fei'zhe 一般消费者
'yi'ban'xing'zhi'shi 一般性知识
'yi'ban'zhi'shi 一般知识
'yi'biao'shi'zai'tu'pian'huo'zhe'zhao'pian'zhong'de'gai'wai'guan'she'ji'zhuan'li'chan'pin'wei'zhun 以表示在图片或者照片中的该外观设计专利产品为准
'yi'ci'shou'quan 一次授权
'yi'ci'xing'shou'quan 一次性授权
'yi'cun'zhuan'li 依存专利
'yi'dian'zi'wen'jian'xing'shi'ti'chu'de'zhuan'li'shen'qing'qing'qiu'lei'wen'jian'lei'xing'ding'yi 以电子文件形式提出的专利申请请求类文件类型定义
'yi'fa'ming'chuang'zao'yi'shen'qing 一发明创造一申请
'yi'fa'ming'chuang'zao'yi'shen'qing'yuan'ze 一发明创造一申请原则
'yi'fa'ming'yi'shen'qing 一发明一申请
'yi'fa'ming'yi'shen'qing'yuan'ze 一发明一申请原则
'yi'hou'dao'qi'zhe'wei'zhun 以后到期者为准
'yi'ji'ben'xiang'tong'de'shou'duan 以基本相同的手段
'yi'ji'fu'yi'zhi 一级复议制
'yi'jian'bu'qia'dang 意见不恰当
'yi'jian'chen'shu 意见陈述
'yi'jian'chen'shu'hui'fu'han 意见陈述回复函
'yi'jian'chen'shu'shu 意见陈述书
'yi'jiao'guo'fang'zhuan'li'ji'gou'shen'cha 移交国防专利机构审查
'yi'jiao'guo'fang'zhuan'li'ju'shen'cha 移交国防专利局审查
'yi'lei'cuo'wu 一类错误
'yi'qi'quan'li'yao'qiu'de'nei'rong'wei'zhun 以其权利要求的内容为准
'yi'qi'ta'fang'shi'gong'kai 以其他方式公开
'yi'she'ji'yi'shen'qing 一设计一申请
'yi'she'ji'yi'shen'qing'yuan'ze 一设计一申请原则
'yi'shen 一审
'yi'shen 已审
'yi'shen'dai'jie 已审待结
'yi'shen'dai'jie'an 已审待结案
'yi'shen'pan'jue 一审判决
'yi'sheng'chu'fang 医生处方
'yi'shi'bu'zai'li 一事不再理
'yi'shi'bu'zai'li'yuan'ze 一事不再理原则
'yi'shi'liang'fen 一式两份
'yi'shuo'ming'shu'wei'yi'ju 以说明书为依据
'yi'tong 一通
'yi'tong 已通
'yi'tong'biao 一通表
'yi'tong'biao'ge 一通表格
'yi'tong'hui'an 一通回案
'yi'tong'zheng'wen 一通正文
'yi'wen'cuo'wu 译文错误
'yi'wen'gai'zheng'fei 译文改正费
'yi'xian'dao'qi'zhe'wei'zhun 以先到期者为准
'yi'xiang'bu'dao'de'ji'shu'xiao'guo 意想不到的技术效果
'yi'yao'bu 医药部
'yi'yao'sheng'wu'bu 医药生物部
'yi'yao'sheng'wu'fa'ming'shen'cha'bu 医药生物发明审查部
'yi'yi 异议
'yi'yi'cheng'xu 异议程序
'yi'yi'fei 异议费
'yi'yi'jue'ding'huo'xuan'bu'yi'yi'shi'wei'wei'ti'chu'de'tong'zhi'shu 异议决定或宣布异议视为未提出的通知书
'yi'yi'li'you 异议理由
'yi'yi'shen'cha 异议审查
'yi'yi'zhi 异议制
'yi'you'de'ji'shu 已有的技术
'yi'ze'yi'fang'shi'yin'yong 以择一方式引用
'yi'zhao'gai'zhuan'li'fang'fa'zhi'jie'huo'de'de'chan'pin 依照该专利方法直接获得的产品
'yi'zhi'chan'pin'de'xin'yong'tu'fa'ming 已知产品的新用途发明
'yi'zhi'quan 依职权
'yi'zhi'quan'diao'cha 依职权调查
'yi'zhi'quan'diao'cha'yuan'ze 依职权调查原则
'yi'zhi'quan'shen'cha'yuan'ze 依职权审查原则
'yi'zhi'quan'xiu'gai 依职权修改
'yi'zhi'quan'xiu'gai'tong'zhi'shu 依职权修改通知书
'yi'zhi'shi'shi 已知事实
'yi'zhi'xing'shi 已知形式
'yin'de'biao 引得表
'yin'de'ma 引得码
'yin'gong'diao'cha'diao'juan'han 因公调查调卷函
'yin'gong'diao'cha'tui'juan'han 因公调查退卷函
'yin'gu 银谷
'yin'gu'da'sha 银谷大厦
'yin'han'gong'kai 隐含公开
'yin'han'xing'gong'kai 隐含性公开
'yin'hua'shui 印花税
'yin'shua'fei 印刷费
'yin'shua'ri 印刷日
'yin'shua'ri'qi 印刷日期
'yin'shua'shi'jian 印刷时间
'yin'yong'bu'fen 引用部分
'yin'yong'de'quan'li'yao'qiu 引用的权利要求
'yin'yong'fang'shi 引用方式
'yin'yong'guan'xi 引用关系
'yin'yong'quan'li'yao'qiu 引用权利要求
'yin'zheng 引证
'yin'zheng'dui'bi'wen'jian 引证对比文件
'yin'zheng'wen'jian 引证文件
'ying'dang'de'zhi 应当得知
'ying'wen'biao'ge 英文表格
'ying'wen'dian'zi'zhai'yao 英文电子摘要
'ying'wen'zhai'yao 英文摘要
'ying'yong'fen'lei 应用分类
'yong'bing'lie'xuan'ze'fang'shi'gai'kuo 用并列选择方式概括
'yong'ci'gui'fan 用词规范
'yong'hu'xie'yi 用户协议
'yong'jin 用尽
'yong'shang'wei'gai'nian'gai'kuo 用上位概念概括
'yong'tu'fa'ming 用途发明
'yong'tu'quan'li'yao'qiu 用途权利要求
'yong'tu'te'zheng 用途特征
'yong'tu'xian'ding 用途限定
'yong'tu'xian'ding'de'chan'pin'quan'li'yao'qiu 用途限定的产品权利要求
'yong'tu'xian'ding'xing 用途限定型
'yong'tu'xian'ding'xing'quan'li'yao'qiu 用途限定型权利要求
'yong'wu'li'hua'xue'can'shu'biao'zheng'de'hua'xue'chan'pin 用物理化学参数表征的化学产品
'yong'yu'jie'shi'quan'li'yao'qiu 用于解释权利要求
'yong'yu'zhuan'li'cheng'xu'de'wei'sheng'wu'bao'cang'ban'fa 用于专利程序的微生物保藏办法
'yong'yu'zhuan'li'cheng'xu'de'wei'sheng'wu'jun'du'zhong'pei'yang'wu'ru'jing'jian'yi'zan'xing'gui'ding 用于专利程序的微生物菌毒种培养物入境检疫暂行规定
'yong'yu'zhuan'li'cheng'xu'wei'sheng'wu'ji'cun'bu'da'pei'si'tiao'yue 用于专利程序微生物寄存布达佩斯条约
'yong'yuan'zi'he'bian'huan'fang'fa'huo'de'de'chan'pin 用原子核变换方法获得的产品
'yong'zhi'bei'fang'fa'biao'zheng'de'hua'xue'chan'pin 用制备方法表征的化学产品
'you'chuo'ri 邮戳日
'you'hui'qi 优惠期
'you'li'you'huai'yi 有理由怀疑
'you'shi'tu 右视图
'you'shi'zheng'ju 优势证据
'you'shi'zheng'ju'gui'ze 优势证据规则
'you'xia'ci'de'zheng'ju 有瑕疵的证据
'you'xian'ci'shi'yan 有限次实验
'you'xian'gui'ze 优先规则
'you'xian'quan 优先权
'you'xian'quan'hao 优先权号
'you'xian'quan'he'shi 优先权核实
'you'xian'quan'hui'fu'qing'qiu'shen'pi'jue'ding 优先权恢复请求审批决定
'you'xian'quan'ji'chu 优先权基础
'you'xian'quan'qi'jian 优先权期间
'you'xian'quan'qi'xian 优先权期限
'you'xian'quan'qing'qiu 优先权请求
'you'xian'quan'qing'qiu'fei 优先权请求费
'you'xian'quan'qing'qiu'shen'cha'tong'zhi'shu 优先权请求审查通知书
'you'xian'quan'ri 优先权日
'you'xian'quan'shu'ju 优先权数据
'you'xian'quan'wen'ben 优先权文本
'you'xian'quan'wen'jian 优先权文件
'you'xian'quan'wen'jian'fei 优先权文件费
'you'xian'quan'wen'jian'fu'ben 优先权文件副本
'you'xian'quan'wen'jian'fu'ben'shou'ye 优先权文件副本首页
'you'xian'quan'wen'jian'fu'ben'shou'ye'yi'wen 优先权文件副本首页译文
'you'xian'quan'wu'xiao 优先权无效
'you'xian'quan'yao'qiu 优先权要求
'you'xian'quan'yao'qiu'fei 优先权要求费
'you'xian'quan'yao'qiu'hui'fu'fei 优先权要求恢复费
'you'xian'quan'yao'qiu'hui'fu'qing'qiu 优先权要求恢复请求
'you'xian'quan'yao'qiu'hui'fu'qing'qiu'shen'pi'jue'ding 优先权要求恢复请求审批决定
'you'xian'quan'yao'qiu'shi'wei'wei'ti'chu 优先权要求视为未提出
'you'xian'quan'yuan'ze 优先权原则
'you'xian'quan'zheng'ming 优先权证明
'you'xian'quan'zheng'ming'wen'jian 优先权证明文件
'you'xian'quan'zhuan'rang 优先权转让
'you'xian'quan'zhuan'rang'zheng'ming 优先权转让证明
'you'xian'quan'zhuan'rang'zheng'ming'cai'liao 优先权转让证明材料
'you'xian'quan'zhuan'rang'zheng'ming'zhong'wen'ben 优先权转让证明中文本
'you'xian'shou'chang'quan 优先受偿权
'you'xiao'qi 有效期
'you'xiao'qi'xian 有效期限
'you'xiao'ri'qi 有效日期
'you'xiao'xing 有效性
'you'xiao'you'xian'quan'ri 有效优先权日
'you'xiao'zheng'ju 有效证据
'you'xing'zai'ti 有形载体
'you'xuan'fang'shi 优选方式
'you'xuan'shi'shi'fang'shi 优选实施方式
'you'xuan'shi'shi'li 优选实施例
'you'yi'ji'shu'xiao'guo 有益技术效果
'you'yi'xiao'guo 有益效果
'you'yi'yi'de'jian'suo 有意义的检索
'you'yi'yi'de'shen'cha 有意义的审查
'you'yong'xing 有用性
'yu'bei'qin'quan'xing'wei 预备侵权行为
'yu'jiao 预缴
'yu'ju'qing'chu 语句清楚
'yu'liao'bu'dao 预料不到
'yu'liao'bu'dao'de'ji'shu'xiao'guo 预料不到的技术效果
'yu'mao'yi'you'guan'de'zhi'shi'chan'quan'xie'yi 与贸易有关的知识产权协议
'yu'qi 逾期
'yu'qi'de'ji'shu'xiao'guo 预期的技术效果
'yu'qi'xiao'guo 预期效果
'yu'shen'qing'ren'fei'zheng'shi'lian'xi'de'ji'lu 与申请人非正式联系的记录
'yu'shi'shi'bu'fu 与事实不符
'yu'wai'zheng'ju 域外证据
'yu'xian'que'ding'huo'ping'jia 预先确定或评价
'yu'yi'yong'tu 欲意用途
'yuan'an 原案
'yuan'an'hao 原案号
'yuan'an'shen'qing'hao 原案申请号
'yuan'an'shen'qing'ri 原案申请日
'yuan'an'shen'qing'wen'jian 原案申请文件
'yuan'an'shen'qing'wen'jian'fu'ben 原案申请文件副本
'yuan'bo'hui'jue'ding 原驳回决定
'yuan'jian 原件
'yuan'jian'xing'shi 原件形式
'yuan'jue'ding 原决定
'yuan'quan'li'yao'qiu 原权利要求
'yuan'quan'li'yao'qiu'shu 原权利要求书
'yuan'que'ding'mi'ji 原确定密级
'yuan'shen'cha'bu'men 原审查部门
'yuan'shen'qing 原申请
'yuan'shen'qing'gong'kai'de'fan'wei 原申请公开的范围
'yuan'shen'qing'hao 原申请号
'yuan'shen'qing'ri 原申请日
'yuan'shen'qing'wen'jian 原申请文件
'yuan'shen'qing'wen'jian'fu'ben 原申请文件副本
'yuan'shi'gong'kai 原始公开
'yuan'shi'guo'ji'shen'qing 原始国际申请
'yuan'shi'guo'ji'shen'qing'wen'ben 原始国际申请文本
'yuan'shi'quan'li'yao'qiu'shu 原始权利要求书
